activity_new,channel_sales,cons_12m,cons_gas_12m,cons_last_month,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,price_p1_var_mean,price_p1_var_std,price_p1_var_min,price_p1_var_max,price_p2_var_mean,price_p2_var_std,price_p2_var_min,price_p2_var_max,price_p3_var_mean,price_p3_var_std,price_p3_var_min,price_p3_var_max,price_p1_fix_mean,price_p1_fix_std,price_p1_fix_min,price_p1_fix_max,price_p2_fix_mean,price_p2_fix_std,price_p2_fix_min,price_p2_fix_max,price_p3_fix_mean,price_p3_fix_std,price_p3_fix_min,price_p3_fix_max,price_p1_var_change,price_p2_var_change,price_p3_var_change,price_p1_fix_change,price_p2_fix_change,price_p3_fix_change,price_energy_peak_offpeak_spread,price_p1_var_max_monthly_move,tenure_years,months_to_end,months_to_renewal,months_since_modif,lifespan_years,cons_per_product,recent_cons_ratio,net_margin_per_cons,is_dual_fuel,has_forecast_bill,churn
other,usilxuppasemubllopkaafesmlibmsdf,2962.0,0.0,0.0,,,,,444.38,0.0,0.0,15.85,0.1457109999999999,0.0,44.31137796,0.0,0.0,12.82,12.82,1,42.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0.14968158333333334,0.002095497400633224,0.146905,0.151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.31137536,0.08040378905128245,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037669999999999926,0.0,0.0,0.17777879999999868,0.0,0.0,0.14968158333333334,0.004461999999999994,4.27378507871321,8.73850197109067,-3.219448094612352,51.28120893561103,4.27378507871321,2962.0,0.0,0.014378798109385551,0,0,0
other,lmkebamcaaclubfxadlmueccxoimlema,26064.0,0.0,2188.0,,,,,2738.1,2188.0,0.0,130.43,0.1157609999999999,0.099419,40.606701,0.0,219.59,33.42,33.42,1,329.6,6,lxidpiddsbxsbosboudacockeimpuepw,31.5,0.12337916666666666,0.0041313504909155216,0.118755,0.128214,0.10295191666666666,0.0018373883866328608,0.101071,0.105543,0.07378566666666667,0.0017541105662950286,0.071233,0.07515,40.728885,0.0,40.728885,40.728885,24.437330039999996,0.0,24.43733004,24.43733004,16.29155496,0.0,16.29155496,16.29155496,-0.0071370000000000045,-0.002149999999999999,0.0038629999999999914,0.0,0.0,0.0,0.020427250000000008,0.008161000000000002,5.661875427789186,4.073587385019711,-7.917214191852825,8.114323258869907,5.661875427789186,26064.0,1.007366482504604,0.012645794966236957,0,0,0
missing,usilxuppasemubllopkaafesmlibmsdf,10831.0,0.0,3112.0,,,,,1204.58,3112.0,0.0,20.94,0.1646369999999999,0.087381,44.31137796,0.0,349.48,14.52,14.52,1,108.5,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.5,0.16754041666666666,0.0007965946223922409,0.166638,0.168185,0.08574508333333332,0.0018933926480518923,0.084213,0.08789,0.0,0.0,0.0,0.0,44.34100546,0.09154357412739532,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015469999999999928,0.0036769999999999997,0.0,0.17777879999999868,0.0,0.0,0.08179533333333334,0.0015469999999999928,4.476386036960986,6.307490144546649,-5.683311432325887,53.712220762155056,4.476386036960986,10831.0,3.447881082079217,0.010017542239867049,0,0,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,4442.0,0.0,2489.0,,,,,561.96,2489.0,0.0,20.5,0.1670859999999999,0.088444,46.30537836,0.0,308.41,21.09,21.09,1,18.41,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,0.16926066666666664,0.002009515062864368,0.166638,0.171266,0.08768666666666668,0.0004845467110109312,0.087248,0.088956,0.0,0.0,0.0,0.0,44.537302159999996,0.6071654202212758,44.26693116,46.44471036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014959999999999973,0.0012979999999999936,0.0,2.1777792000000034,0.0,0.0,0.08157399999999997,0.004627999999999993,6.09719370294319,10.840998685939553,-1.149802890932983,73.16031537450722,6.09719370294319,4442.0,6.723998199009455,0.004144529491220171,0,0,0
kkklcdamwfafdcfwofuscwfwadblfmce,foosdfpfkusacimwkcsosbicdxkicaua,46121.0,1542867.0,5280.0,643.44,643.44,5718.05,523.68,4502.43,5280.0,0.0,145.81,0.1152369999999999,0.100123,40.606701,1.0,523.68,5.52,5.52,2,533.46,4,lxidpiddsbxsbosboudacockeimpuepw,16.5,0.12175263636363637,0.0040422673655444216,0.117093,0.125254,0.10173627272727273,0.0018645646189343558,0.098947,0.103116,0.07171036363636364,0.0012336176289861674,0.07112,0.074205,40.595591727272726,0.06590195785785274,40.56596939999999,40.728885,24.35735233090909,0.03954203769700935,24.33957804,24.43733004,16.23823503272727,0.026362077737974866,16.22638296,16.29155496,-0.007016000000000008,-0.0013350000000000029,0.003030999999999992,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020016363636363638,0.008161000000000002,4.334017796030117,9.95400788436268,-2.0039421813403417,26.05124835742444,4.334017796030117,23060.5,1.3737776717764143,0.011566531514928124,1,1,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,7726.0,0.0,0.0,,,,,914.1,0.0,0.0,74.66,0.162327,0.084428,44.31137796,0.0,0.0,33.12,33.12,1,89.02,3,ldkssxwpmemidmecebumciepifcamkci,13.2,0.16917733333333332,0.003435062136088368,0.164316,0.172468,0.08763966666666662,0.001672752349943737,0.084927,0.0888149999999999,0.0,0.0,0.0,0.0,44.31137526,0.08040384935337197,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00815200000000002,-0.0029539999999999983,0.0,0.17777879999999868,0.0,0.0,0.0815376666666667,0.004628000000000021,2.940451745379877,12.713534822601838,0.7555847568988173,1.445466491458607,2.940451745379877,7726.0,0.0,0.011522133057209422,0,0,0
missing,lmkebamcaaclubfxadlmueccxoimlema,55084.0,0.0,8709.0,,,,,1765.35,3513.0,0.0,0.0,0.098925,0.09135,58.99595196,0.0,290.91,-2.08,-2.08,1,140.26,3,ldkssxwpmemidmecebumciepifcamkci,10.0,0.10526474999999995,0.003632910081338451,0.100797,0.1081849999999999,0.09392749999999994,0.0021573612459331692,0.090897,0.0956149999999999,0.0690505833333333,0.0007260682986072914,0.0679029999999999,0.069519,58.956502,0.06832655755544953,58.93677408,59.17346796,36.35688676,0.04213677786683042,36.344721,36.490689,8.33705108,0.009661681825543642,8.33426016,8.36773104,-0.00708399999999991,-0.0029809999999999004,-0.0007729999999999959,0.23669388000000424,0.14596272,0.0334708800000012,0.011337250000000007,0.005794999999999911,3.164955509924709,9.986859395532194,-2.0039421813403417,3.4494086727989486,3.164955509924709,55084.0,1.89724783966306,0.00254629293442742,0,0,0
missing,,9707.0,0.0,0.0,,,,,1028.52,0.0,0.0,15.37,0.168242,0.089602,45.30837756,0.0,0.0,15.78,15.78,1,111.59,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,0.1660606666666666,0.00238308979471971,0.1633609999999999,0.167989,0.08474424999999995,0.00038774127386001294,0.0843049999999999,0.085058,0.0,0.0,0.0,0.0,44.26693026,5.427204220461904e-07,44.26692996,44.26693116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004628000000000104,-0.0007530000000001008,0.0,-1.1999999998124622e-06,0.0,0.0,0.08131641666666665,0.004628000000000104,5.084188911704312,11.005256241787121,-0.9855453350854139,61.00525624178712,5.084188911704312,9707.0,0.0,0.011495827753167818,0,0,0
apdekpcbwosbxepsfxclislboipuxpop,lmkebamcaaclubfxadlmueccxoimlema,47019.0,0.0,3161.0,,,,,1687.29,1080.0,0.0,16.08,0.144902,0.0,44.31137796,0.0,158.53,19.28,19.28,1,130.14,4,ldkssxwpmemidmecebumciepifcamkci,10.392,0.14904449999999997,0.002033683201395019,0.146788,0.15125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38545035999999,0.08753223022606474,44.26693116,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034229999999998983,0.0,0.0,0.17777879999999868,0.0,0.0,0.14904449999999997,0.004461999999999994,3.698836413415469,3.6136662286465175,-8.377135348226018,44.382391590013135,3.698836413415469,47019.0,0.8067377017801315,0.002767817265360811,0,0,0
apdekpcbwosbxepsfxclislboipuxpop,,786536.0,80583.0,85883.0,2669.59,2669.59,14047.18,2585.38,13517.5,23298.0,0.0,16.6,0.1640579999999999,0.086163,44.31137796,1.0,2585.38,25.68,25.68,2,1087.76,6,lxidpiddsbxsbosboudacockeimpuepw,11.4,0.16801133333333332,0.00232450633403519,0.165384,0.170012,0.08641891666666662,0.0007574474429211683,0.084991,0.0870809999999999,0.0,0.0,0.0,0.0,44.26693026,5.427204220461904e-07,44.26692996,44.26693116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004194000000000003,0.0013370000000000049,0.0,-1.1999999998124622e-06,0.0,0.0,0.0815924166666667,0.004627999999999993,5.87542778918549,1.4783180026281209,-10.4796320630749,70.4993429697766,5.87542778918549,393268.0,1.3102973036199232,0.0013829754772826672,1,1,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,30776.0,0.0,0.0,,,,,3045.16,0.0,0.0,118.24,0.1128599999999999,0.096521,40.606701,0.0,0.0,19.29,19.29,1,335.78,5,,25.0,0.12036708333333333,0.003986251405161438,0.115854,0.124015,0.10012291666666667,0.0017453129679403034,0.098169,0.102338,0.070822,0.0014435284422678874,0.06944,0.072249,40.6474275,0.08507958396583772,40.56596939999999,40.728885,24.38845514,0.051048168167587754,24.33957804,24.43733004,16.25897136,0.03403246030051558,16.22638296,16.29155496,-0.007666000000000006,-0.0032129999999999936,0.0027549999999999936,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.02024416666666666,0.008161000000000002,4.418891170431212,6.767411300919842,-5.19053876478318,17.24704336399474,4.418891170431212,30776.0,0.0,0.010910449701065765,0,0,0
missing,,24838.0,0.0,2877.0,,,,,1088.35,798.0,0.0,141.79,0.115174,0.098837,40.606701,0.0,79.36,21.57,21.57,1,117.44,5,ldkssxwpmemidmecebumciepifcamkci,15.001,0.12278558333333334,0.004071989718203078,0.118175,0.126336,0.10239583333333331,0.001742164841033492,0.100491,0.1046599999999999,0.07328333333333333,0.0015425547483039817,0.071536,0.07457,40.6610035,0.0838899100606404,40.56596939999999,40.728885,24.39660114,0.05033394603638224,24.33958068,24.43733004,16.26440236,0.03355596402425514,16.22638872,16.29155496,-0.007801000000000002,-0.002904000000000004,0.0029799999999999965,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020389750000000026,0.008161000000000002,4.59958932238193,4.829172141918528,-7.063074901445466,55.19053876478318,4.59958932238193,24838.0,1.3899669860697317,0.004728238988646429,0,0,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,15411.0,0.0,0.0,,,,,194.42,0.0,0.0,18.31,0.1457109999999999,0.0,44.31137796,0.0,0.0,23.97,23.97,1,19.07,4,lxidpiddsbxsbosboudacockeimpuepw,13.0,0.14991325,0.002057289175103987,0.1476,0.152062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.370635359999994,0.09154352116285497,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037669999999999926,0.0,0.0,0.17777879999999868,0.0,0.0,0.14991325,0.004461999999999994,3.594798083504449,4.862023653088042,-7.063074901445466,43.13403416557161,3.594798083504449,15411.0,0.0,0.0012374278113036143,0,0,0
kkklcdamwfafdcfwofuscwfwadblfmce,foosdfpfkusacimwkcsosbicdxkicaua,16782.0,0.0,1908.0,,,,,1686.67,1908.0,0.0,131.77,0.1152369999999999,0.100123,40.606701,1.0,189.79,6.6,6.6,2,203.35,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,0.12397108333333334,0.0044593907137498974,0.118238,0.127566,0.10377791666666665,0.0020464959168976574,0.101259,0.105428,0.07359316666666667,0.0002867592697505647,0.073433,0.074205,40.5931235,0.06341411066789503,40.56596939999999,40.728885,24.35587114,0.038049400606350994,24.33957804,24.43733004,16.237247359999998,0.025367045704593385,16.22638296,16.29155496,-0.009328000000000017,-0.0036469999999999975,0.0007179999999999964,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020193166666666693,0.008161000000000015,6.250513347022587,9.00131406044678,-2.9566360052562417,75.0,6.250513347022587,8391.0,1.3643189131212012,0.012117149326659516,0,0,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,26987.0,0.0,4099.0,,,,,2761.95,4099.0,0.0,129.95,0.1186359999999999,0.10175,40.606701,0.0,413.68,47.35,47.35,1,316.53,5,lxidpiddsbxsbosboudacockeimpuepw,35.0,0.1264915833333333,0.004278539033963735,0.121647,0.130144,0.10595441666666666,0.002250050644211183,0.103413,0.10802,0.0751825,0.0005459737755939978,0.074278,0.075514,40.68815609999999,0.07368135241304521,40.56596939999999,40.728885,24.4128927,0.04420881144782419,24.33958068,24.43733004,16.2752634,0.029472540965216162,16.22638872,16.29155496,-0.008497000000000005,-0.004607,0.0011820000000000025,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020537166666666634,0.00816099999999989,4.829568788501026,2.0696452036793693,-9.789750328515112,57.95006570302234,4.829568788501026,26987.0,1.822655352577167,0.011728980620298661,0,0,0
missing,usilxuppasemubllopkaafesmlibmsdf,20560.0,0.0,3804.0,,,,,3037.82,3804.0,0.0,0.0,0.142417,0.0,44.31137796,0.0,548.89,4.14,4.14,1,255.96,3,lxidpiddsbxsbosboudacockeimpuepw,11.0,0.1476650909090909,0.0026005989100415187,0.144292,0.149902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.299253923636364,0.07191538912326283,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005610000000000004,0.0,0.0,0.17777879999999868,0.0,0.0,0.1476650909090909,0.004461999999999994,3.0006844626967832,11.990801576872535,0.0,2.0039421813403417,3.0006844626967832,20560.0,2.2202334630350196,0.012449416342412452,0,0,0
other,foosdfpfkusacimwkcsosbicdxkicaua,21097.0,0.0,0.0,,,,,2257.99,0.0,,110.78,,,,0.0,0.0,25.92,25.92,1,291.78,3,lxidpiddsbxsbosboudacockeimpuepw,17.320999999999998,0.12427339999999995,0.004249800026667966,0.1193359999999999,0.127633,0.10389539999999993,0.0019624726579836643,0.1016519999999999,0.105821,0.07488229999999997,0.001317062982548647,0.072974,0.0757309999999999,40.728885,0.0,40.728885,40.728885,24.43733004,0.0,24.43733004,24.43733004,16.29155496,0.0,16.29155496,16.29155496,-0.008297000000000096,-0.0033090000000000064,0.002702999999999997,0.0,0.0,0.0,0.02037800000000002,0.008161000000000099,2.7433264887063653,3.088042049934297,-8.902759526938238,1.2483574244415243,2.7433264887063653,21097.0,0.0,0.013830402426885338,0,0,1
missing,foosdfpfkusacimwkcsosbicdxkicaua,12157.0,0.0,0.0,,,,,1418.81,0.0,0.0,16.42,0.160302,0.082403,44.31137796,0.0,0.0,23.4,23.4,2,123.87,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,0.16642283333333333,0.0024832588131995736,0.1622849999999999,0.168705,0.08463633333333333,0.0006897604766522298,0.082896,0.08539,0.0,0.0,0.0,0.0,44.37063526,0.09154364474601649,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006420000000000092,-0.0012230000000000019,0.0,0.17777879999999868,0.0,0.0,0.0817865,0.004627999999999993,2.841889117043121,1.8725361366622864,-9.789750328515112,0.5256241787122208,2.841889117043121,6078.5,0.0,0.010189191412355022,0,0,0
other,,13122.0,0.0,0.0,,,,,1932.42,0.0,0.0,19.51,0.143478,0.0,44.31137796,0.0,0.0,3.56,3.56,1,150.7,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0.14711616666666666,0.0022885489183137667,0.144523,0.148968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.29656036,0.06920058430903656,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004444999999999977,0.0,0.0,0.17777879999999868,0.0,0.0,0.14711616666666666,0.004443999999999976,6.067077344284736,11.202365308804204,-0.7884362680683311,2.0039421813403417,6.067077344284736,13122.0,0.0,0.011484529797286999,0,0,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,3584.0,0.0,322.0,202.63,202.63,2001.81,32.61,379.83,322.0,0.0,145.98,0.1152369999999999,0.100123,41.1052014,0.0,32.61,57.72,57.72,1,38.76,5,lxidpiddsbxsbosboudacockeimpuepw,23.1,0.12406833333333334,0.004333958957168869,0.118238,0.127566,0.10373441666666666,0.0020977078164828703,0.101259,0.105428,0.07352883333333333,0.0002145158749511552,0.073433,0.074205,40.6212142,0.19136679868045892,40.56596939999999,41.2288854,24.389391840000002,0.17255590811921845,24.33957804,24.93733044,16.27348306,0.163150462860495,16.22638296,16.79155536,-0.009328000000000017,-0.0036469999999999975,0.0007179999999999964,0.6629160000000098,0.5977497599999992,0.565166640000001,0.020333916666666674,0.008161000000000015,5.122518822724161,10.545335085413928,-1.445466491458607,61.465177398160314,5.122518822724161,3584.0,1.078125,0.010814732142857142,0,1,1
missing,,2632.0,0.0,0.0,,,,,394.83,0.0,0.0,15.98,0.1457109999999999,0.0,44.31137796,0.0,0.0,14.64,14.64,1,38.62,6,ldkssxwpmemidmecebumciepifcamkci,10.392,0.14979741666666666,0.0019397362266008902,0.1476,0.151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.34100536,0.09154366240108021,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037669999999999926,0.0,0.0,0.17777879999999868,0.0,0.0,0.14979741666666666,0.0037669999999999926,5.47296372347707,6.340341655716163,-5.617608409986859,65.67017082785807,5.47296372347707,2632.0,0.0,0.014673252279635257,0,0,0
